coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
98.57,0.26472,0.70187,0.69466,1.2131,1.2002,1.4712,1.4688,3.4425,8.1595
98.16,0.25792,0.68283,0.67705,1.1848,1.1746,1.4418,1.4375,3.1658,7.6263
97.75,0.25118,0.66392,0.65943,1.1561,1.1483,1.412,1.4071,2.929,7.0814
97.34,0.2445,0.64516,0.64184,1.1271,1.1215,1.3817,1.3771,2.7235,6.535
96.93,0.23789,0.62655,0.62429,1.0977,1.0942,1.351,1.3474,2.5491,5.9873
96.52,0.23133,0.6081,0.60678,1.068,1.0665,1.3196,1.3176,2.4018,5.446
96.11,0.22485,0.58987,0.5894,1.0383,1.0386,1.2878,1.2874,2.2729,4.9342
95.7,0.21843,0.57185,0.57215,1.0087,1.0104,1.2555,1.2569,2.1625,4.4533
95.29,0.21207,0.55409,0.55505,0.97906,0.98223,1.2228,1.226,2.0673,4.0141
94.88,0.2058,0.53664,0.53821,0.9498,0.95419,1.1901,1.195,1.9834,3.6263
94.46,0.19961,0.51954,0.52164,0.92091,0.92638,1.1575,1.164,1.9108,3.2892
94.05,0.1935,0.50286,0.50542,0.89264,0.89904,1.1252,1.1331,1.8476,3.0052
93.64,0.18747,0.48656,0.48952,0.86488,0.87209,1.0932,1.1024,1.7917,2.7665
93.23,0.18152,0.4706,0.4739,0.83763,0.84552,1.0614,1.0718,1.7418,2.5695
92.82,0.17564,0.45495,0.45854,0.81079,0.81926,1.0299,1.0412,1.6953,2.403
92.41,0.16982,0.43958,0.44342,0.78437,0.79331,0.99863,1.0108,1.652,2.2656
92,0.16407,0.42446,0.4285,0.75829,0.76762,0.96753,0.98037,1.61,2.1488
91.59,0.15837,0.40958,0.41377,0.73255,0.74218,0.93661,0.95001,1.5688,2.0493
91.18,0.15273,0.39492,0.39923,0.70713,0.71697,0.90586,0.9197,1.5278,1.9641
90.77,0.14713,0.38045,0.38484,0.68198,0.69198,0.87528,0.88945,1.4863,1.8879
90.35,0.14158,0.36617,0.37061,0.65711,0.66719,0.84485,0.85925,1.4442,1.8203
89.94,0.13607,0.35206,0.35652,0.63248,0.64258,0.81458,0.82911,1.4012,1.7575
89.53,0.13059,0.3381,0.34256,0.60809,0.61816,0.78446,0.79904,1.3575,1.6989
89.12,0.12515,0.3243,0.32872,0.58392,0.59391,0.75447,0.76902,1.3129,1.643
88.71,0.11974,0.31063,0.315,0.55995,0.56982,0.72462,0.73906,1.2676,1.5884
88.3,0.11436,0.29709,0.30138,0.53619,0.54588,0.6949,0.70917,1.2217,1.5349
87.89,0.10899,0.28366,0.28785,0.51259,0.52208,0.6653,0.67934,1.1751,1.4812
87.48,0.10364,0.27034,0.27442,0.48917,0.49842,0.63581,0.64955,1.128,1.4273
87.07,0.098312,0.25711,0.26106,0.46589,0.47487,0.60642,0.61982,1.0804,1.3724
86.66,0.092991,0.24396,0.24777,0.44275,0.45143,0.57712,0.59014,1.0325,1.3163
86.24,0.08768,0.23088,0.23454,0.41972,0.42808,0.5479,0.5605,0.98415,1.2588
85.83,0.082374,0.21786,0.22135,0.39679,0.40481,0.51875,0.53089,0.93561,1.1996
85.42,0.077072,0.20488,0.20821,0.37394,0.38162,0.48966,0.50132,0.88686,1.1389
85.01,0.071773,0.19194,0.1951,0.35116,0.35847,0.46062,0.4718,0.83804,1.0767
84.6,0.066474,0.17902,0.18201,0.32841,0.33536,0.43162,0.44231,0.7892,1.0133
