Input_name,parameter1,parameter2,type
ω0,0.00E+00,2.00E-01,uniform
ω1,-2.00E-01,2.00E-01,uniform
ω2,-2.00E-01,2.00E-01,uniform
ω3,-2.00E-01,2.00E-01,uniform
