coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
98.22,0.000158731,0.00091555,0.000427373,0.001071382,0.001519383,0.001863837,0.001882717,0.003221889,0.008038964
97.72,0.000144613,0.000741739,0.000349688,0.000958472,0.001264709,0.001588216,0.001524347,0.002697942,0.006962862
97.22,0.000122444,0.000592633,0.000249997,0.000722838,0.00104331,0.001270187,0.001036288,0.002031678,0.005818376
96.72,0.000339407,0.000755809,0.000499616,0.000972939,0.001167954,0.001404458,0.001113528,0.001930734,0.005205667
96.22,0.000496836,0.00090335,0.000525703,0.001179755,0.001306044,0.001591333,0.001293607,0.002050846,0.005318072
95.72,0.00050782,0.000918221,0.000769597,0.001334667,0.001350416,0.001535574,0.001234247,0.00176335,0.004524227
95.22,0.000219472,0.000645355,0.000582301,0.001084997,0.000834389,0.00115168,0.000780406,0.001291153,0.003500922
94.72,0.00022771,0.000655454,0.000544878,0.001108263,0.000821802,0.001117173,0.00077675,0.001160273,0.002948111
94.22,0.000201526,0.000576507,0.000567943,0.001112685,0.000795019,0.001031616,0.000721502,0.00103732,0.002350595
93.72,1.45169E-05,0.000421982,0.000518296,0.000965275,0.00064934,0.000870257,0.000593254,0.000878432,0.002056796
93.22,0.000136344,0.000515915,0.000514231,0.000935402,0.000650785,0.000874287,0.000634033,0.000866673,0.001846694
92.72,0.000115038,0.000608268,0.000484289,0.001027008,0.000858649,0.001047227,0.000881625,0.001151221,0.002103095
92.22,9.72703E-05,0.000605595,0.000449596,0.000997496,0.000870135,0.001062651,0.000888831,0.001167788,0.001956683
91.72,0.000130161,0.00064386,0.000501446,0.001037911,0.000913434,0.001083751,0.000936266,0.001154488,0.001742181
91.22,0.00032709,0.000643477,0.000542849,0.001092754,0.000932552,0.001081408,0.00096323,0.001100005,0.001473382
90.72,0.000171039,0.000343821,6.90105E-05,0.000634388,0.000579293,0.000732826,0.000559533,0.000830999,0.001357669
