coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
98.72,2.75E-04,0.000822847,0.00036303,0.001190264,0.001440511,0.001801491,0.001840314,0.003901983,0.009443339
98.22,0.000318573,0.000874907,0.000413523,0.001170763,0.001412956,0.001660825,0.001659337,0.003459554,0.008655865
97.72,0.000358787,0.000902495,0.000409722,0.001149659,0.001372516,0.001501285,0.001462692,0.003010335,0.007810205
97.22,0.000392494,0.000911508,0.000411057,0.001133942,0.001341783,0.001367682,0.001281505,0.002596367,0.006972051
96.72,0.000415512,0.000909062,0.000469922,0.001129121,0.001335642,0.001292541,0.00114113,0.002247784,0.006186785
96.22,0.000417818,0.000888855,0.000558135,0.001123138,0.001334131,0.001243522,0.001032506,0.001950749,0.005450323
95.72,0.000393686,0.000836651,0.000608393,0.001094142,0.001304507,0.001165474,0.00092704,0.001672429,0.004728126
95.22,0.000349078,0.000753911,0.000587064,0.001036671,0.00123699,0.001049185,0.000819477,0.001411001,0.004021408
94.72,0.000298219,0.000660565,0.000550045,0.000969914,0.001154928,0.000936251,0.000731515,0.00119238,0.003379879
94.22,0.000250995,0.000570945,0.000522741,0.000907762,0.001078672,0.000851987,0.000676374,0.001034893,0.002855354
93.72,2.14E-04,0.000502313,0.000502445,0.000861342,0.001025109,0.000811227,0.000659004,0.000946205,0.002474103
93.22,0.000192868,0.000474319,0.000494175,0.000842731,0.001009984,0.000824177,0.000678419,0.000923332,0.00222335
92.72,0.000184508,0.00048203,0.00048776,0.00084632,0.001025447,0.000870505,0.000717514,0.000942393,0.002061569
92.22,1.85E-04,0.000502361,0.000481635,0.000849129,0.001040854,0.000906916,0.000745979,0.000963856,0.001924821
91.72,0.000190007,0.000515641,0.000472025,0.000830063,0.001030398,0.000901793,0.000742368,0.000961285,0.001780122
91.22,0.000192506,0.000510534,0.000423874,0.000775659,0.000980222,0.000837723,0.000698554,0.000927496,0.001631119
90.72,0.000189013,0.00048751,3.27E-04,0.000692662,0.000896275,0.000724417,0.000624711,0.00087137,0.001495277
90.22,1.84E-04,0.000454377,0.000244248,0.000611263,0.000804215,0.000606279,0.000547833,0.000809238,0.001375577
89.72,1.80E-04,0.000409737,0.000198135,0.000546334,0.000714597,0.000505905,0.00048031,0.000748024,0.00126339
89.22,0.00017791,0.000360977,0.000197296,0.000504445,0.000635512,0.000447416,0.000432688,0.00069235,0.001152495
88.72,0.00017632,0.00032317,0.000227166,0.000474993,0.000563143,0.000432629,0.00040642,0.000638234,0.001031064
88.22,1.72E-04,0.000291439,2.43E-04,0.000427529,0.000478296,0.000407504,0.000374078,0.000555682,0.00086172
87.72,0.000162905,0.000261373,0.000253684,0.000353668,0.000381642,0.000356989,0.000323258,0.000441481,0.00065237
87.22,0.000136624,0.000220698,0.00024093,0.00025455,0.000274293,0.00027639,2.51E-04,0.000305922,0.00042602
86.72,9.03E-05,1.63E-04,1.84E-04,1.50E-04,1.67E-04,1.82E-04,1.68E-04,1.71E-04,2.17E-04
86.22,3.14E-05,8.81E-05,7.86E-05,4.68E-05,6.12E-05,8.05E-05,8.21E-05,4.53E-05,3.07E-05
