coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30
92,,-0.661156,,,-1.338051,,,-2.02253,,,-2.701202,,,-3.379074,,,-4.057266,,,-4.736076,,,-5.415733,,,-6.096336,,,-6.777878,
94,,-0.675644,,,-1.368286,,,-2.069046,,,-2.763481,,,-3.456963,,,-4.150719,,,-4.8451,,,-5.540352,,,-6.236595,,,-6.933823,
96,,-0.690086,,,-1.3983,,,-2.115166,,,-2.825226,,,-3.534149,,,-4.243301,,,-4.953064,,,-5.663712,,,-6.375397,,,-7.088112,
98,,-0.704475,,,-1.42804,,,-2.16082,,,-2.88633,,,-3.610527,,,-4.334885,,,-5.059822,,,-5.785667,,,-6.512573,,,-7.240555,
100,,-0.718796,,,-1.457466,,,-2.205925,,,-2.946693,,,-3.685966,,,-4.425323,,,-5.16523,,,-5.906052,,,-6.647949,,,-7.390938,
102,,-0.733055,,,-1.486526,,,-2.250397,,,-3.006218,,,-3.760345,,,-4.514481,,,-5.269135,,,-6.024689,,,-6.781326,,,-7.539093,
104,,-0.747238,,,-1.515167,,,-2.294151,,,-3.064781,,,-3.833542,,,-4.602219,,,-5.371368,,,-6.141411,,,-6.912544,,,-7.684807,
106,,-0.76133,,,-1.543343,,,-2.33712,,,-3.122292,,,-3.905434,,,-4.6884,,,-5.471794,,,-6.256058,,,-7.041412,,,-7.827904,
108,,-0.77533,,,-1.571014,,,-2.379227,,,-3.178642,,,-3.975899,,,-4.772896,,,-5.570267,,,-6.368477,,,-7.167786,,,-7.968224,
110,,-0.789238,,,-1.598122,,,-2.420403,,,-3.233749,,,-4.044823,,,-4.855576,,,-5.666649,,,-6.478539,,,-7.291504,,,-8.105598,
112,,-0.803032,,,-1.624626,,,-2.460602,,,-3.287537,,,-4.112129,,,-4.93634,,,-5.760834,,,-6.586113,,,-7.41246,,,-8.239914,
114,,-0.816704,,,-1.650444,,,-2.499786,,,-3.339943,,,-4.177734,,,-5.015106,,,-5.85273,,,-6.691124,,,-7.530548,,,-8.371063,
116,,-0.830261,,,-1.675461,,,-2.537933,,,-3.39093,,,-4.2416,,,-5.091827,,,-5.942291,,,-6.793503,,,-7.645721,,,-8.499001,
118,,-0.843681,,,-1.699692,,,-2.575027,,,-3.440498,,,-4.303703,,,-5.166481,,,-6.029495,,,-6.893242,,,-7.757973,,,-8.623726,
120,,-0.856979,,,-1.723671,,,-2.611099,,,-3.48867,,,-4.36409,,,-5.239113,,,-6.114395,,,-6.990395,,,-7.86734,,,-8.745277,
122,,-0.870148,,,-1.747383,,,-2.646187,,,-3.535507,,,-4.422829,,,-5.309814,,,-6.197083,,,-7.085068,,,-7.973961,,,-8.8638,
124,,-0.883194,,,-1.770844,,,-2.680328,,,-3.581078,,,-4.480026,,,-5.378708,,,-6.27771,,,-7.177414,,,-8.077988,,,-8.979462,
126,,-0.896141,,,-1.794006,,,-2.713623,,,-3.625557,,,-4.535912,,,-5.446075,,,-6.35659,,,-7.267784,,,-8.17981,,,-9.092682,
128,,-0.909019,,,-1.81691,,,-2.746178,,,-3.669113,,,-4.590698,,,-5.512154,,,-6.433975,,,-7.356445,,,-8.279686,,,-9.203728,
130,,-0.92189,,,-1.83963,,,-2.778343,,,-3.712273,,,-4.64505,,,-5.577721,,,-6.51075,,,-7.444397,,,-8.378761,,,-9.313866,
132,,-0.934845,,,-1.862183,,,-2.810318,,,-3.755249,,,-4.699142,,,-5.642921,,,-6.587021,,,-7.531677,,,-8.47699,,,-9.422974,
134,,-0.94812,,,-1.88472,,,-2.843567,,,-3.800003,,,-4.755402,,,-5.710678,,,-6.666252,,,-7.622314,,,-8.578972,,,-9.536224,
136,,-0.961899,,,-1.90654,,,-2.87764,,,-3.845581,,,-4.812408,,,-5.779037,,,-6.74585,,,-7.713058,,,-8.680733,,,-9.648888,
138,,-0.977478,,,-1.938187,,,-2.922836,,,-3.904648,,,-4.885635,,,-5.866501,,,-6.847549,,,-7.828903,,,-8.810623,,,-9.792725,
140,,-1,,,-2,,,-3,,,-4,,,-5,,,-6,,,-7,,,-8,,,-9,,,-10,
