coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30
0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
2,,-0.022517,,,-0.061811,,,-0.077157,,,-0.095346,,,-0.11436,,,-0.133496,,,-0.152454,,,-0.171096,,,-0.189372,,,-0.207281,
4,,-0.038106,,,-0.093464,,,-0.122357,,,-0.154418,,,-0.187588,,,-0.220962,,,-0.254145,,,-0.28694,,,-0.319265,,,-0.351112,
6,,-0.051884,,,-0.115277,,,-0.156436,,,-0.200004,,,-0.244596,,,-0.289317,,,-0.333749,,,-0.377682,,,-0.421026,,,-0.463772,
8,,-0.065157,,,-0.137817,,,-0.189686,,,-0.244746,,,-0.300855,,,-0.357081,,,-0.412981,,,-0.468325,,,-0.523012,,,-0.577028,
10,,-0.078104,,,-0.160363,,,-0.221655,,,-0.287724,,,-0.354953,,,-0.42228,,,-0.489249,,,-0.555607,,,-0.621241,,,-0.686136,
12,,-0.090978,,,-0.183089,,,-0.253824,,,-0.330884,,,-0.4093,,,-0.487845,,,-0.566027,,,-0.643558,,,-0.720313,,,-0.796274,
14,,-0.103855,,,-0.205992,,,-0.28638,,,-0.374442,,,-0.46409,,,-0.553926,,,-0.64341,,,-0.732212,,,-0.820189,,,-0.907318,
16,,-0.116803,,,-0.229158,,,-0.319674,,,-0.418921,,,-0.519974,,,-0.621293,,,-0.72229,,,-0.822586,,,-0.92201,,,-1.020538,
18,,-0.129852,,,-0.252615,,,-0.353813,,,-0.464493,,,-0.577169,,,-0.690187,,,-0.802917,,,-0.914934,,,-1.026037,,,-1.136198,
20,,-0.143021,,,-0.276327,,,-0.388899,,,-0.511328,,,-0.635906,,,-0.760885,,,-0.885609,,,-1.009609,,,-1.132658,,,-1.254723,
22,,-0.156315,,,-0.300306,,,-0.424976,,,-0.559504,,,-0.696293,,,-0.833519,,,-0.970505,,,-1.106758,,,-1.242029,,,-1.376274,
24,,-0.169741,,,-0.324541,,,-0.46207,,,-0.609068,,,-0.7584,,,-0.908176,,,-1.057709,,,-1.206501,,,-1.354277,,,-1.500996,
26,,-0.183294,,,-0.349554,,,-0.500212,,,-0.660059,,,-0.822262,,,-0.984894,,,-1.147266,,,-1.308878,,,-1.469448,,,-1.628935,
28,,-0.196972,,,-0.375374,,,-0.539396,,,-0.712465,,,-0.887871,,,-1.063663,,,-1.239166,,,-1.413883,,,-1.58754,,,-1.76009,
30,,-0.210764,,,-0.401876,,,-0.579597,,,-0.766253,,,-0.955175,,,-1.144428,,,-1.333351,,,-1.521461,,,-1.708492,,,-1.894403,
32,,-0.224667,,,-0.428988,,,-0.620777,,,-0.82136,,,-1.024105,,,-1.227108,,,-1.429733,,,-1.631519,,,-1.832214,,,-2.03178,
34,,-0.23867,,,-0.456657,,,-0.66288,,,-0.877712,,,-1.094566,,,-1.3116,,,-1.528202,,,-1.743942,,,-1.958584,,,-2.172094,
36,,-0.252766,,,-0.484837,,,-0.705845,,,-0.935219,,,-1.166454,,,-1.397778,,,-1.628628,,,-1.858593,,,-2.087456,,,-2.315193,
38,,-0.266945,,,-0.513477,,,-0.749603,,,-0.993786,,,-1.239651,,,-1.485519,,,-1.730865,,,-1.975315,,,-2.21867,,,-2.460911,
40,,-0.2812,,,-0.542534,,,-0.794075,,,-1.053303,,,-1.314034,,,-1.57468,,,-1.83477,,,-2.093948,,,-2.352051,,,-2.609058,
42,,-0.295528,,,-0.571957,,,-0.83918,,,-1.11367,,,-1.389473,,,-1.665119,,,-1.940178,,,-2.214329,,,-2.487423,,,-2.759449,
44,,-0.309914,,,-0.6017,,,-0.884834,,,-1.174774,,,-1.465847,,,-1.756699,,,-2.04694,,,-2.336285,,,-2.624603,,,-2.911884,
46,,-0.324356,,,-0.631714,,,-0.930958,,,-1.236519,,,-1.543037,,,-1.849277,,,-2.154903,,,-2.459652,,,-2.763409,,,-3.066174,
48,,-0.338844,,,-0.661945,,,-0.977474,,,-1.298801,,,-1.620926,,,-1.94273,,,-2.26392,,,-2.584263,,,-2.903664,,,-3.222122,
50,,-0.353374,,,-0.69236,,,-1.024307,,,-1.36153,,,-1.699406,,,-2.036934,,,-2.373856,,,-2.709969,,,-3.045197,,,-3.379539,
52,,-0.367943,,,-0.722912,,,-1.0714,,,-1.424625,,,-1.778378,,,-2.131767,,,-2.484573,,,-2.836624,,,-3.187847,,,-3.53825,
54,,-0.382542,,,-0.753567,,,-1.11869,,,-1.488018,,,-1.857754,,,-2.227131,,,-2.595959,,,-2.964088,,,-3.331459,,,-3.698082,
56,,-0.397171,,,-0.784294,,,-1.166134,,,-1.55164,,,-1.937462,,,-2.322933,,,-2.707901,,,-3.092236,,,-3.475891,,,-3.858875,
58,,-0.411819,,,-0.815071,,,-1.213688,,,-1.61544,,,-2.017426,,,-2.41909,,,-2.820301,,,-3.220955,,,-3.62101,,,-4.020481,
60,,-0.426487,,,-0.845875,,,-1.261322,,,-1.679371,,,-2.097591,,,-2.51553,,,-2.933071,,,-3.350136,,,-3.766697,,,-4.182762,
62,,-0.441174,,,-0.876694,,,-1.30901,,,-1.743401,,,-2.177914,,,-2.612183,,,-3.046131,,,-3.479691,,,-3.912838,,,-4.345581,
64,,-0.455868,,,-0.90752,,,-1.356735,,,-1.807499,,,-2.258347,,,-2.709003,,,-3.159416,,,-3.609531,,,-4.059334,,,-4.508827,
66,,-0.470573,,,-0.938347,,,-1.40448,,,-1.871643,,,-2.338856,,,-2.805943,,,-3.272858,,,-3.739574,,,-4.206081,,,-4.672382,
68,,-0.485283,,,-0.969177,,,-1.45224,,,-1.935814,,,-2.419418,,,-2.902954,,,-3.386406,,,-3.869751,,,-4.353001,,,-4.83614,
70,,-0.5,,,-1,,,-1.5,,,-2,,,-2.5,,,-3,,,-3.5,,,-4,,,-4.5,,,-5,
72,,-0.514717,,,-1.030823,,,-1.54776,,,-2.064186,,,-2.580582,,,-3.097046,,,-3.613594,,,-4.130249,,,-4.647003,,,-5.163857,
74,,-0.529427,,,-1.061653,,,-1.59552,,,-2.128357,,,-2.66114,,,-3.194061,,,-3.727142,,,-4.260422,,,-4.793915,,,-5.327614,
76,,-0.544128,,,-1.092476,,,-1.643265,,,-2.192497,,,-2.741653,,,-3.290993,,,-3.840584,,,-4.390472,,,-4.940666,,,-5.491173,
78,,-0.55883,,,-1.123306,,,-1.690987,,,-2.256599,,,-2.822083,,,-3.387817,,,-3.953865,,,-4.520309,,,-5.087158,,,-5.654419,
80,,-0.573509,,,-1.154129,,,-1.738678,,,-2.320625,,,-2.902405,,,-3.484474,,,-4.066925,,,-4.649864,,,-5.233299,,,-5.817238,
82,,-0.588181,,,-1.184929,,,-1.786308,,,-2.38456,,,-2.982574,,,-3.58091,,,-4.179695,,,-4.779045,,,-5.37899,,,-5.979523,
84,,-0.602829,,,-1.215706,,,-1.833862,,,-2.448364,,,-3.062538,,,-3.677063,,,-4.292099,,,-4.907761,,,-5.524109,,,-6.141129,
86,,-0.617455,,,-1.246429,,,-1.88131,,,-2.511986,,,-3.142242,,,-3.772865,,,-4.404037,,,-5.035912,,,-5.668541,,,-6.301918,
88,,-0.632057,,,-1.277084,,,-1.928596,,,-2.575371,,,-3.221626,,,-3.868233,,,-4.515427,,,-5.163376,,,-5.812157,,,-6.461754,
90,,-0.646622,,,-1.30764,,,-1.975693,,,-2.638474,,,-3.300598,,,-3.963066,,,-4.626144,,,-5.290031,,,-5.954803,,,-6.620461,
