Lambda,Kappa,M,OCR
0.517284543712472,0.0488389459608177,1.26973244932084,130.502459271554
0.540639638228669,0.0252057224769962,1.01426843297211,121.009084749151
0.66782870229071,0.0622490840201371,1.09627710804788,104.648252822357
0.59340769254861,0.0782121135495873,0.921967978833325,107.145640700568
0.521364030344963,0.0619602379878861,0.883255932136474,112.455105085037
0.536007480605247,0.0694117277109984,0.917097041138653,114.073714953674
0.567201757822721,0.0660020146471026,0.939832268980406,86.2839214332202
0.566664828389408,0.0671915834378358,0.912482441207321,99.4574285658581
0.524849581505538,0.0688032646183761,0.997278965019295,98.4818198913399
0.532588887879668,0.0686770060958692,1.00604532005274,98.5520548386825
0.513677355331039,0.0684491290563812,0.97533085214284,97.3246066813416
0.526539583140481,0.0690952729945536,0.954042618733527,98.0222098363318
0.531038928399765,0.0687511598113536,1.01192047907437,97.4317542629847
0.545058050465667,0.0683745451039024,0.999399262699395,97.1897641722018
0.532761360790175,0.0690888523838946,0.986973331677272,97.8119229770979
0.526054601290653,0.0686672842805053,1.00353869767173,97.5994380013577
0.525255061871465,0.0694896538116404,0.992437649078961,95.9027621787151
0.525332963578349,0.0694388269979129,1.00523478425365,98.4578689738388
0.522848003470653,0.0688154470013604,1.00697776721218,97.4394584683032
0.524591506725448,0.0686659245013307,1.00685877261433,97.7233840879385
0.531850831182726,0.0690554253522125,1.01600722750477,98.6227120423924
0.528376482642161,0.068922691442831,1.01348339758189,97.4473012801789
0.530581196973276,0.0692961675474473,1.00105249315419,97.3645831330962
0.51828087594515,0.0689413520735301,1.02127281720463,95.5621595991363
