coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30
108,,,0.083385,,,0.167908,,,0.250587,,,0.335091,,,0.421753,,,0.510757,,,0.602188,,,0.696014,,,0.792206,,,0.890614
110,,,0.082714,,,0.165821,,,0.246716,,,0.329708,,,0.4147,,,0.501839,,,0.591213,,,0.682796,,,0.776562,,,0.872372
112,,,0.081863,,,0.163212,,,0.241905,,,0.323029,,,0.406021,,,0.490978,,,0.57798,,,0.667004,,,0.758026,,,0.850914
114,,,0.080807,,,0.160034,,,0.236088,,,0.314953,,,0.39558,,,0.478012,,,0.562309,,,0.648445,,,0.736397,,,0.826031
116,,,0.079491,,,0.156208,,,0.229195,,,0.305378,,,0.383259,,,0.462803,,,0.544048,,,0.626953,,,0.711494,,,0.797535
118,,,0.077873,,,0.151737,,,0.221172,,,0.294231,,,0.368954,,,0.445229,,,0.523064,,,0.602386,,,0.68317,,,0.765278
120,,,0.075893,,,0.146576,,,0.211983,,,0.281456,,,0.352589,,,0.425205,,,0.499252,,,0.574642,,,0.65131,,,0.72913
122,,,0.073479,,,0.140659,,,0.201611,,,0.267025,,,0.334141,,,0.402695,,,0.47258,,,0.543671,,,0.615871,,,0.689049
124,,,0.070549,,,0.133968,,,0.190025,,,0.250908,,,0.313568,,,0.377659,,,0.442997,,,0.509407,,,0.576763,,,0.644936
126,,,0.067001,,,0.126453,,,0.177223,,,0.233124,,,0.29092,,,0.350151,,,0.410553,,,0.471901,,,0.534046,,,0.596855
128,,,0.062698,,,0.117943,,,0.163113,,,0.213589,,,0.26609,,,0.32003,,,0.375061,,,0.43092,,,0.487431,,,0.544468
130,,,0.057499,,,0.108364,,,0.147747,,,0.192436,,,0.239273,,,0.287529,,,0.336788,,,0.386761,,,0.437256,,,0.488155
132,,,0.051117,,,0.097378,,,0.130634,,,0.169048,,,0.209675,,,0.25164,,,0.294502,,,0.337959,,,0.381821,,,0.42598
134,,,0.04343,,,0.085011,,,0.112259,,,0.144173,,,0.178288,,,0.213631,,,0.24976,,,0.286381,,,0.323307,,,0.360451
136,,,0.03336,,,0.068928,,,0.08902,,,0.113155,,,0.139267,,,0.166405,,,0.194172,,,0.222298,,,0.250633,,,0.279099
138,,,0.021584,,,0.052082,,,0.065411,,,0.082222,,,0.100693,,,0.120041,,,0.139896,,,0.160034,,,0.180328,,,0.200703
140,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
