coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
11,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777,4.777
12,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795,4.8795
13,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792,4.9792
14,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739,5.0739
15,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588,5.1588
16,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921,5.1921
17,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207,5.0207
18,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856,4.856
19,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491,4.7491
20,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845,4.6845
21,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641,4.641
22,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073,4.6073
23,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817,4.5817
24,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636,4.5636
25,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549,4.549
26,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538,4.538
27,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295,4.5295
28,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227,4.5227
29,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174
30,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513,4.513
31,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095,4.5095
32,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069,4.5069
33,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046,4.5046
34,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032,4.5032
35,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023,4.5023
36,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016,4.5016
37,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501,4.501
38,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004,4.5004
39,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998,4.4998
40,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499,4.499
41,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983,4.4983
42,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978,4.4978
43,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976,4.4976
44,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974,4.4974
45,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972,4.4972
46,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497,4.497
47,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969,4.4969
48,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967,4.4967
49,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496,4.496
50,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945,4.4945
51,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924,4.4924
