coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
1,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00
2,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00,3.46E+00
3,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00,3.74E+00
4,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00,3.94E+00
5,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00,4.09E+00
6,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313,4.2313
7,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353,4.353
8,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464,4.464
9,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695,4.5695
10,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736,4.6736
