coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
16,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296,0.00076296
17,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236,0.00066236
18,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515,0.0005515
19,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187,0.00047187
20,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971,0.00041971
21,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491,0.00038491
22,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063,0.00036063
23,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443,0.00034443
24,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398,0.00033398
25,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624,0.00032624
26,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321,0.000321
27,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797,0.00031797
28,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617,0.00031617
29,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535,0.00031535
30,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506,0.00031506
31,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507,0.00031507
32,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549,0.00031549
33,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621,0.00031621
34,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745,0.00031745
35,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901,0.00031901
36,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078,0.00032078
37,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258,0.00032258
38,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438,0.00032438
39,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606,0.00032606
40,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782,0.00032782
41,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957,0.00032957
42,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134,0.00033134
