coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
1,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05,-3.78E-05
2,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05
3,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05,7.45E-05
4,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305,0.00013305
5,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174,0.00019174
6,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044,0.00025044
7,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919,0.00030919
8,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801,0.00036801
9,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634,0.00042634
10,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384,0.00048384
11,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091,0.00054091
12,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745,0.00059745
13,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233,0.00065233
14,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411,0.00070411
15,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985,0.00074985
