coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
1,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02,-199.02
2,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24,-230.24
3,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03,-243.03
4,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45,-252.45
5,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13,-260.13
6,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74,-266.74
7,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6,-272.6
8,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94,-277.94
9,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99,-282.99
10,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94,-287.94
11,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85,-292.85
12,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71,-297.71
13,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41,-302.41
14,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77,-306.77
15,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49,-310.49
16,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22,-311.22
17,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34,-297.34
18,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37,-282.37
19,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21,-270.21
20,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65,-260.65
21,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92,-252.92
