coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
126,2.8128,2.2591,2.0205,1.1224,0.95076,0.88606,0.87819,0.83167,0.72213
125.29,2.7141,2.4098,2.2181,1.4169,1.2601,1.2025,1.1954,1.1607,1.0638
125,2.6153,2.5606,2.4157,1.7114,1.5695,1.5191,1.5128,1.4899,1.4057
124,2.5164,2.7114,2.6133,2.0061,1.879,1.8358,1.8302,1.8192,1.7476
123.5,2.4176,2.8623,2.8111,2.3009,2.1887,2.1528,2.1479,2.1488,2.0897
123.4,2.3185,3.0136,3.0094,2.5967,2.4994,2.4707,2.4666,2.4793,2.4328
123,2.2193,3.1653,3.2083,2.8935,2.8112,2.7898,2.7865,2.8111,2.777
122.5,2.1197,3.3178,3.4082,3.192,3.1248,3.1107,3.1082,3.1447,3.1231
122,2.0198,3.4711,3.6091,3.4925,3.4406,3.4339,3.4323,3.4808,3.4715
121.9,1.9192,3.6346,3.8216,3.8049,3.7681,3.769,3.7683,3.8292,3.832
121.5,1.8174,3.7916,4.0273,4.1128,4.0916,4.1002,4.1005,4.1738,4.1887
121.4,1.7134,3.9371,4.2209,4.4108,4.4058,4.4224,4.4236,4.5092,4.5362
121,1.6108,4.0611,4.3913,4.6901,4.7025,4.7275,4.7299,4.8271,4.8662
120,1.5104,4.1632,4.538,4.9505,4.9817,5.0156,5.0194,5.1276,5.1786
119.5,1.413,4.242,4.6594,5.1906,5.242,5.2851,5.2904,5.4089,5.4718
119.3,1.3213,4.2914,4.7482,5.4074,5.4815,5.5349,5.5421,5.67,5.7444
119,1.2351,4.3116,4.8041,5.6026,5.7022,5.7672,5.7767,5.9133,5.9992
118.5,1.1544,4.3026,4.8272,5.776,5.904,5.9821,5.9943,6.1389,6.2361
118.3,1.0801,4.2625,4.8149,5.9289,6.0889,6.1819,6.1976,6.3496,6.4578
118,1.0119,4.194,4.7686,6.0685,6.2654,6.3764,6.3967,6.5567,6.6763
117,0.94967,4.097,4.6885,6.1951,6.4337,6.5659,6.5918,6.7604,6.8919
116.5,0.89343,3.9726,4.5751,6.3244,6.6123,6.7705,6.8035,6.983,7.1281
116.3,0.8433,3.8255,4.4321,6.4527,6.7963,6.9857,7.0276,7.2207,7.3809
116,0.79962,3.6562,4.2597,6.5671,6.971,7.1955,7.2478,7.4555,7.631
115.5,0.7621,3.4758,4.0679,6.6574,7.1232,7.3867,7.4514,7.6747,7.8651
115.3,0.73022,3.2902,3.8626,6.72,7.2477,7.5545,7.6335,7.8738,8.079
115.2,0.70397,3.0995,3.6437,6.7548,7.3446,7.6986,7.7941,8.0531,8.2725
115,0.68286,2.9103,3.4176,6.7572,7.4078,7.8132,7.9274,8.2064,8.4394
114,0.66492,2.7316,3.1964,6.723,7.4297,7.8924,8.0283,8.3329,8.5806
113.5,0.64997,2.5629,2.9803,6.6527,7.4107,7.9369,8.0978,8.4341,8.6979
113,0.63798,2.4043,2.7696,6.5462,7.3505,7.9463,8.1354,8.5094,8.7907
112.96,0.62742,2.2606,2.5722,6.4019,7.2454,7.9188,8.1401,8.5624,8.8645
112.55,0.61775,2.1313,2.3897,6.2248,7.0987,7.8603,8.1192,8.6075,8.9383
112.14,0.60897,2.0162,2.2221,6.0146,6.9106,7.7709,8.0726,8.6449,9.012
111.73,0.60087,1.9153,2.0703,5.773,6.6819,7.6591,8.0116,8.6927,9.1082
111.31,0.59282,1.8275,1.9362,5.5081,6.4193,7.5308,7.9425,8.7663,9.2474
110.9,0.58486,1.7519,1.8192,5.222,6.1247,7.3754,7.8502,8.8433,9.4027
110.49,0.5768,1.6862,1.718,4.9275,5.8096,7.1903,7.7284,8.9196,9.5718
110.08,0.56861,1.6296,1.6318,4.6282,5.4776,6.9757,7.5761,8.9953,9.7555
109.67,0.56022,1.5809,1.5592,4.3317,5.136,6.7313,7.3909,9.0704,9.9555
109.26,0.5516,1.5378,1.4975,4.0467,4.7953,6.4596,7.1723,9.1497,10.181
108.85,0.54274,1.4998,1.4458,3.7752,4.4586,6.1619,6.921,9.2547,10.465
108.44,0.53367,1.4651,1.4015,3.5223,4.135,5.8443,6.64,9.374,10.791
108.03,0.52438,1.4332,1.3636,3.2886,3.8269,5.5095,6.3313,9.4896,11.133
107.62,0.51493,1.4027,1.33,3.0756,3.5406,5.1713,6.0053,9.5869,11.468
107.2,0.50535,1.3737,1.3004,2.8832,3.2766,4.8314,5.6633,9.6645,11.794
106.79,0.49566,1.3456,1.2736,2.7116,3.0375,4.5011,5.315,9.7133,12.098
106.38,0.48595,1.3184,1.2489,2.5601,2.8235,4.187,4.9683,9.7282,12.372
105.97,0.47624,1.2921,1.2264,2.4288,2.6354,3.8919,4.626,9.7074,12.613
105.56,0.46658,1.2667,1.2052,2.3152,2.4716,3.6224,4.2992,9.6461,12.811
105.15,0.45697,1.2419,1.185,2.2185,2.3315,3.3788,3.9892,9.5441,12.968
104.74,0.44741,1.2174,1.1653,2.1359,2.2125,3.1619,3.7022,9.3995,13.078
104.33,0.43791,1.1931,1.1456,2.0641,2.1108,2.969,3.4403,9.2133,13.14
103.92,0.42847,1.1688,1.1261,2.0032,2.0264,2.8001,3.2033,8.9852,13.152
103.51,0.41909,1.1445,1.1063,1.9514,1.9572,2.6539,2.9925,8.7152,13.115
103.09,0.40977,1.1201,1.0862,1.9048,1.8973,2.5256,2.8049,8.4087,13.028
102.68,0.40051,1.0956,1.0656,1.863,1.8464,2.4148,2.6399,8.0667,12.891
102.27,0.39131,1.071,1.0448,1.8257,1.8039,2.3211,2.4973,7.6889,12.704
101.86,0.38217,1.0463,1.0235,1.7896,1.7649,2.2394,2.373,7.2855,12.47
101.45,0.37309,1.0215,1.0018,1.7545,1.7286,2.1681,2.2653,6.863,12.19
101.04,0.36406,0.99663,0.9798,1.7203,1.6951,2.1071,2.1741,6.4215,11.864
100.63,0.3551,0.97167,0.95745,1.6859,1.6624,2.0533,2.0967,5.9722,11.495
100.22,0.34619,0.94669,0.93485,1.6509,1.6295,2.0036,2.0283,5.5365,11.088
99.81,0.33735,0.9217,0.912,1.6153,1.5966,1.958,1.969,5.1149,10.643
99.4,0.32856,0.89669,0.88892,1.5789,1.5633,1.9155,1.9175,4.714,10.162
98.99,0.31984,0.87173,0.8657,1.5416,1.529,1.8735,1.8692,4.35,9.6529
98.57,0.31118,0.84682,0.84236,1.5035,1.494,1.8318,1.8237,4.021,9.1187
98.16,0.30257,0.82196,0.81889,1.4647,1.458,1.7905,1.781,3.7275,8.5592
97.75,0.29403,0.7972,0.79537,1.4251,1.4212,1.7484,1.7387,3.4707,7.9832
97.34,0.28556,0.77257,0.77185,1.3851,1.3836,1.7055,1.6966,3.2431,7.4016
96.93,0.27715,0.74808,0.74833,1.3445,1.3454,1.6619,1.6545,3.0449,6.8147
96.52,0.26881,0.72374,0.72485,1.3036,1.3065,1.6174,1.612,2.8727,6.2305
96.11,0.26054,0.69967,0.70153,1.2626,1.2674,1.5723,1.569,2.7197,5.6743
95.7,0.25235,0.67587,0.67837,1.2216,1.228,1.5266,1.5255,2.5856,5.1476
