coord,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9
98.72,2.53E-04,0.000850504,0.000408428,0.001347242,0.001577272,0.001914833,0.001990134,0.004131021,0.009803657
98.22,0.000383391,0.001017839,0.000494525,0.001328782,0.0015319,0.00178402,0.001808952,0.003555899,0.008772487
97.72,0.00035614,0.000896062,0.000404358,0.001143286,0.001343824,0.001480275,0.001436138,0.002965012,0.00770265
97.22,0.000328024,0.000741972,0.000231928,0.000864833,0.001123543,0.001121895,0.00098528,0.002249488,0.006513665
96.72,0.000441717,0.000849201,0.000439266,0.00104199,0.001273866,0.001219826,0.001009019,0.002097516,0.005913314
96.22,0.00055763,0.000991482,0.000577687,0.001217629,0.001451166,0.001401525,0.001192243,0.002211292,0.006001395
95.72,0.000543287,0.000992567,0.000745182,0.001302736,0.001522783,0.001363418,0.001112705,0.001879422,0.005105654
95.22,0.000262532,0.000679375,0.000525634,0.000970332,0.00115335,0.000937891,0.000718082,0.001304378,0.003990834
94.72,0.000282715,0.000676971,0.000525388,0.000962139,0.001141332,0.000917142,0.000697413,0.001132751,0.003260359
94.22,0.000231519,0.000600062,0.00054522,0.000937992,0.001108157,0.000863019,0.000662521,0.000987109,0.002634776
93.72,1.37E-04,0.000403986,0.000474081,0.000769103,0.000891541,0.00070209,0.000564822,0.000802734,0.002370466
93.22,0.000184203,0.000415283,0.000510623,0.000753926,0.000875447,0.000740665,0.000584711,0.00078765,0.00203762
92.72,0.000175083,0.000508203,0.000491725,0.000874905,0.001079821,0.000932592,0.000792032,0.001063088,0.002272808
92.22,1.76E-04,0.000524919,0.000438663,0.0008688,0.001086664,0.000935179,0.000805763,0.001081495,0.002103338
91.72,0.000195124,0.000550875,0.000488904,0.000908788,0.001115663,0.000967808,0.000829461,0.001059359,0.001855765
91.22,0.000264399,0.000546001,0.00053713,0.000930292,0.001130494,0.00100094,0.000840338,0.000995869,0.001528229
90.72,0.000185226,0.000322304,1.31E-04,0.000562639,0.000748471,0.000582487,0.000474548,0.000769987,0.001434948
90.22,1.65E-04,0.00049221,0.000246888,0.000610142,0.00083762,0.000655887,0.000573799,0.000814336,0.00140057
89.72,1.68E-04,0.000456781,0.000182599,0.000479702,0.000660449,0.000470794,0.000469549,0.000747483,0.00128801
89.22,0.000169146,0.000227302,0.000138975,0.000184017,0.000304562,0.000143815,0.000157647,0.000379828,0.000874893
88.72,0.000210429,0.000553242,0.000344858,0.00065095,0.000764372,0.000678778,0.000749943,0.000955943,0.001425011
88.22,1.17E-04,0.000239676,1.81E-04,0.000405652,0.000408116,0.000360316,0.000366062,0.000560533,0.000834529
87.72,0.000184046,0.000304348,0.000269321,0.000499062,0.000492443,0.000478684,0.000455158,0.000594004,0.000797149
87.22,0.000142372,0.00019983,0.000231693,0.000138853,0.00016162,0.000185684,1.68E-04,0.000126521,0.000184311
86.72,2.19E-04,2.90E-04,2.88E-04,1.87E-04,2.52E-04,2.69E-04,2.36E-04,2.00E-04,2.54E-04
86.22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
