Input_name,parameter1,parameter2,type
ω0,0,1,uniform
ω1,-1,1,uniform
ω2,-1,1,uniform
ω3,-1,1,uniform
ω4,-1,1,uniform
ω5,-1,1,uniform
ω6,-1,1,uniform
